Datetime,O2,CO2,Temperature,Salinity,pH,EC50
2003-01-01,237.0582744094794,412.0361662603374,19.14116399456099,37.88197578681042,8.085133559445415,40.58851428895178
2003-02-01,237.19326686723,410.2671048525454,19.070974360674043,37.87674471265541,8.086329482114413,40.95491128084877
2003-03-01,237.32825932498056,408.4980434447534,19.0007847267871,37.871513638500396,8.087525404783412,41.32130827274577
2003-04-01,237.46325178273116,406.72898203696144,18.930595092900152,37.86628256434539,8.088721327452408,41.68770526464276
2003-05-01,237.59824424048173,404.95992062916946,18.860405459013208,37.86105149019038,8.089917250121406,42.05410225653975
2003-06-01,237.73323669823233,403.1908592213775,18.79021582512626,37.855820416035364,8.091113172790404,42.42049924843675
2003-07-01,238.13474458333332,399.16259149601115,18.622357291666663,37.847920249999994,8.093704574999999,41.59560416666666
2003-08-01,238.0263,399.23724812895796,18.63291525,37.85219120833334,8.093621533333332,43.48258333333333
2003-09-01,237.85565374999996,399.35436425692893,18.649885041666668,37.84801766666666,8.093461616666666,43.953
2003-10-01,237.87277583333326,399.08408257258,18.650610125,37.83771825,8.093745575,43.44820833333333
2003-11-01,238.00261749999999,397.749763549634,18.588190125000004,37.82940925,8.094911783333334,43.87841666666666
2003-12-01,238.32428625,393.74773747841095,18.413994541666668,37.8224855,8.0977477625,45.091854166666664
2004-01-01,239.05656083333332,389.1133259314088,18.212800916666666,37.81171966666666,8.101017679166667,45.9193244047619
2004-02-01,239.48850708333333,385.2171724648408,18.052351791666663,37.803469,8.103643475000002,46.28458928571428
2004-03-01,239.50936958333335,383.11225429722833,17.97144295833333,37.799596916666665,8.104881541666666,46.16722023809524
2004-04-01,239.41829166666668,383.59392384242125,17.991288749999995,37.796509375,8.104499041666667,46.04482043650793
2004-05-01,239.00761958333328,384.92751953285625,18.079463833333335,37.80005883333334,8.103244416666666,45.976021825396835
2004-06-01,238.63152541666662,386.0035372974751,18.142497833333334,37.812725291666666,8.102161041666667,45.7833134920635
2004-07-01,238.35577624999996,386.5315535817089,18.164999458333334,37.82637254166667,8.101545875,44.67018849206349
2004-08-01,238.33530833333327,386.5135755407516,18.146488124999998,37.83825516666667,8.101557458333334,43.933521825396824
2004-09-01,238.54242749999995,386.3441023110453,18.102867583333335,37.85698266666666,8.101783499999998,44.741369047619045
2004-10-01,238.5428745833333,386.7677880582284,18.096723458333333,37.879541,8.101390874999998,45.89484126984127
2004-11-01,238.32911791666666,388.28067357512947,18.17439525,37.899773999999994,8.100086583333333,47.020049603174606
